year,month,max avg temp(?C),min avg temp(?C),avg temp(?C),avg dew point(?C),precipitation(mm),humidity,area(Rai),yield(Tons)
2018,11,30.4,22.97,27.53,22.13,1.87,77.03,0,116218
2018,12,31.32,23.45,28.13,19.84,0.66,65.55,0,170317
2019,1,33.03,24.29,29.35,16.48,0.14,49.61,0,54906
2019,2,36.54,26,32.14,19.5,0.12,54.26,0,7178
2019,3,38.32,26.61,33.77,18.26,0.95,50.03,0,0
2019,4,39.53,29.83,35.67,20.67,0.52,48.81,0,0
2019,5,38.03,28.94,34.42,21.84,5.14,54.52,580932,0
2019,6,34.33,27.27,31.53,22.87,3.88,66.16,127592,0
2019,7,32.1,25.1,29.29,22.16,2.77,71.23,65560,0
2019,8,29.94,24.65,27.77,23.06,5.31,79.45,254168,277678
2019,9,29.8,24.33,27.57,22.93,9.12,80.16,129938,263588
2019,10,31.32,24.74,28.65,23.26,8.62,77.77,40465,43814
2019,11,29.27,22.2,26.5,20.6,1.42,75,0,51406
2019,12,30.16,20.26,26.26,15.26,0,56.65,0,92167
2020,1,34.97,23.55,30.39,16.9,0,52.29,0,41866
2020,2,35.34,22.93,30.45,16.31,0.01,51.68,0,2602
2020,3,38.19,25.45,33.29,19.32,0.77,56.45,0,0
2020,4,37.73,27.53,33.8,20.57,3.79,55.52,0,0
2020,5,37.45,28.1,33.74,22.48,3.44,60,390354,0
2020,6,34.4,26.7,31.4,22.8,2.82,67.74,146136,0
2020,7,33.45,26.06,30.52,23.13,3.04,70.77,234868,0
2020,8,31.45,25.48,28.84,22.9,4.16,75.26,220344,215873
2020,9,32.23,26.1,29.53,23.97,8.08,77.39,110174,221155
2020,10,28.06,23.19,26.1,22.48,11.36,84.74,55217,24599
2020,11,28.63,22.5,26.2,20.93,1.87,76.03,0,148067
2020,12,29.16,21.32,25.87,16.84,0.22,61.65,0,134270
2021,1,33.48,22.22,28.95,16.44,0.26,,0,0
2021,2,34.49,23.62,30.8,17.46,0.18,,0,0
